instrument,staff,measureNumber,offset,duration,frequency,step,octave
Piano,,1,0.0,0.5,0.0,,
Piano,,1,0.5,0.5,523.2511306011974,C,5
Piano,,1,1.0,0.5,698.456462866008,F,5
Piano,,1,1.5,0.5,659.2551138257401,E,5
Piano,,1,2.0,0.5,587.3295358348153,D,5
Piano,,1,2.5,0.75,523.2511306011974,C,5
Piano,,1,3.25,0.75,493.8833012561241,B,4
Piano,,2,4.0,0.5,440.0,A,4
Piano,,2,4.5,0.5,440.0,A,4
Piano,,2,5.0,0.25,440.0,A,4
Piano,,2,5.25,0.25,391.99543598174927,G,4
Piano,,2,5.5,0.5,440.0,A,4
Piano,,2,6.0,0.5,440.0,A,4
Piano,,2,6.5,0.5,440.0,A,4
Piano,,2,7.0,0.5,493.8833012561241,B,4
Piano,,2,7.5,0.5,493.8833012561241,B,4
Piano,,3,8.0,0.5,523.2511306011974,C,5
Piano,,3,8.5,0.5,523.2511306011974,C,5
Piano,,3,9.0,0.25,523.2511306011974,C,5
Piano,,3,9.25,0.25,493.8833012561241,B,4
Piano,,3,9.5,0.5,523.2511306011974,C,5
Piano,,3,10.0,0.5,783.990871963499,G,5
Piano,,3,10.5,0.5,783.990871963499,G,5
Piano,,3,11.0,0.5,493.8833012561241,B,4
Piano,,3,11.5,0.5,523.2511306011974,C,5
Piano,,4,12.0,0.5,440.0,A,4
Piano,,4,12.5,0.5,440.0,A,4
Piano,,4,13.0,0.25,440.0,A,4
Piano,,4,13.25,0.25,391.99543598174927,G,4
Piano,,4,13.5,0.5,440.0,A,4
Piano,,4,14.0,0.5,440.0,A,4
Piano,,4,14.5,0.5,440.0,A,4
Piano,,4,15.0,0.5,493.8833012561241,B,4
Piano,,4,15.5,0.5,493.8833012561241,B,4
Piano,,5,16.0,0.5,523.2511306011974,C,5
Piano,,5,16.5,0.5,523.2511306011974,C,5
Piano,,5,17.0,0.25,523.2511306011974,C,5
Piano,,5,17.25,0.25,493.8833012561241,B,4
Piano,,5,17.5,0.5,523.2511306011974,C,5
Piano,,5,18.0,0.5,783.990871963499,G,5
Piano,,5,18.5,0.5,880.0000000000003,A,5
Piano,,5,19.0,0.5,493.8833012561241,B,4
Piano,,5,19.5,0.5,523.2511306011974,C,5
Piano,,6,20.0,0.5,440.0,A,4
Piano,,6,20.5,0.5,440.0,A,4
Piano,,6,21.0,0.25,440.0,A,4
Piano,,6,21.25,0.25,391.99543598174927,G,4
Piano,,6,21.5,0.5,440.0,A,4
Piano,,6,22.0,0.5,440.0,A,4
Piano,,6,22.5,0.5,440.0,A,4
Piano,,6,23.0,0.5,493.8833012561241,B,4
Piano,,6,23.5,0.5,493.8833012561241,B,4
Piano,,7,24.0,0.5,523.2511306011974,C,5
Piano,,7,24.5,0.5,523.2511306011974,C,5
Piano,,7,25.0,0.25,523.2511306011974,C,5
Piano,,7,25.25,0.25,493.8833012561241,B,4
Piano,,7,25.5,0.5,523.2511306011974,C,5
Piano,,7,26.0,0.5,783.990871963499,G,5
Piano,,7,26.5,0.5,783.990871963499,G,5
Piano,,7,27.0,0.5,493.8833012561241,B,4
Piano,,7,27.5,0.5,523.2511306011974,C,5
Piano,,8,28.0,0.5,440.0,A,4
Piano,,8,28.5,0.5,440.0,A,4
Piano,,8,29.0,0.25,440.0,A,4
Piano,,8,29.25,0.25,391.99543598174927,G,4
Piano,,8,29.5,0.5,440.0,A,4
Piano,,8,30.0,0.5,440.0,A,4
Piano,,8,30.5,0.5,440.0,A,4
Piano,,8,31.0,0.5,493.8833012561241,B,4
Piano,,8,31.5,0.5,493.8833012561241,B,4
Piano,,9,32.0,0.5,523.2511306011974,C,5
Piano,,9,32.5,0.5,523.2511306011974,C,5
Piano,,9,33.0,0.25,523.2511306011974,C,5
Piano,,9,33.25,0.25,493.8833012561241,B,4
Piano,,9,33.5,0.5,523.2511306011974,C,5
Piano,,9,34.0,0.5,783.990871963499,G,5
Piano,,9,34.5,0.5,880.0000000000003,A,5
Piano,,9,35.0,0.5,493.8833012561241,B,4
Piano,,9,35.5,0.5,523.2511306011974,C,5
Piano,,10,36.0,1.0,523.2511306011974,C,5
Piano,,10,37.0,1.0,0.0,C,5
Piano,,10,38.0,2.0,0.0,C,5
Piano,,1,0.0,4.0,0.0,C,5
Piano,,2,4.0,3.0,174.61411571650183,F,3
Piano,,2,4.0,3.0,219.9999999999999,A,3
Piano,,2,4.0,3.0,261.6255653005985,C,4
Piano,,2,7.0,1.0,195.99771799087452,G,3
Piano,,2,7.0,1.0,246.94165062806198,B,3
Piano,,2,7.0,1.0,293.66476791740746,D,4
Piano,,3,8.0,2.0,219.9999999999999,A,3
Piano,,3,8.0,2.0,261.6255653005985,C,4
Piano,,3,8.0,2.0,329.62755691286986,E,4
Piano,,3,10.0,1.0,261.6255653005985,C,4
Piano,,3,10.0,1.0,329.62755691286986,E,4
Piano,,3,10.0,1.0,391.99543598174927,G,4
Piano,,3,11.0,1.0,164.81377845643485,E,3
Piano,,3,11.0,1.0,195.99771799087452,G,3
Piano,,3,11.0,1.0,246.94165062806198,B,3
Piano,,4,12.0,3.0,174.61411571650183,F,3
Piano,,4,12.0,3.0,219.9999999999999,A,3
Piano,,4,12.0,3.0,261.6255653005985,C,4
Piano,,4,15.0,1.0,195.99771799087452,G,3
Piano,,4,15.0,1.0,246.94165062806198,B,3
Piano,,4,15.0,1.0,293.66476791740746,D,4
Piano,,5,16.0,2.0,219.9999999999999,A,3
Piano,,5,16.0,2.0,261.6255653005985,C,4
Piano,,5,16.0,2.0,329.62755691286986,E,4
Piano,,5,18.0,1.0,261.6255653005985,C,4
Piano,,5,18.0,1.0,329.62755691286986,E,4
Piano,,5,18.0,1.0,391.99543598174927,G,4
Piano,,5,19.0,1.0,164.81377845643485,E,3
Piano,,5,19.0,1.0,195.99771799087452,G,3
Piano,,5,19.0,1.0,246.94165062806198,B,3
Piano,,6,20.0,3.0,174.61411571650183,F,3
Piano,,6,20.0,3.0,219.9999999999999,A,3
Piano,,6,20.0,3.0,261.6255653005985,C,4
Piano,,6,23.0,1.0,195.99771799087452,G,3
Piano,,6,23.0,1.0,246.94165062806198,B,3
Piano,,6,23.0,1.0,293.66476791740746,D,4
Piano,,7,24.0,2.0,219.9999999999999,A,3
Piano,,7,24.0,2.0,261.6255653005985,C,4
Piano,,7,24.0,2.0,329.62755691286986,E,4
Piano,,7,26.0,1.0,261.6255653005985,C,4
Piano,,7,26.0,1.0,329.62755691286986,E,4
Piano,,7,26.0,1.0,391.99543598174927,G,4
Piano,,7,27.0,1.0,164.81377845643485,E,3
Piano,,7,27.0,1.0,195.99771799087452,G,3
Piano,,7,27.0,1.0,246.94165062806198,B,3
Piano,,8,28.0,3.0,174.61411571650183,F,3
Piano,,8,28.0,3.0,219.9999999999999,A,3
Piano,,8,28.0,3.0,261.6255653005985,C,4
Piano,,8,31.0,1.0,195.99771799087452,G,3
Piano,,8,31.0,1.0,246.94165062806198,B,3
Piano,,8,31.0,1.0,293.66476791740746,D,4
Piano,,9,32.0,2.0,219.9999999999999,A,3
Piano,,9,32.0,2.0,261.6255653005985,C,4
Piano,,9,32.0,2.0,329.62755691286986,E,4
Piano,,9,34.0,1.0,261.6255653005985,C,4
Piano,,9,34.0,1.0,329.62755691286986,E,4
Piano,,9,34.0,1.0,391.99543598174927,G,4
Piano,,9,35.0,1.0,164.81377845643485,E,3
Piano,,9,35.0,1.0,195.99771799087452,G,3
Piano,,9,35.0,1.0,246.94165062806198,B,3
Piano,,10,36.0,1.0,174.61411571650183,F,3
Piano,,10,36.0,1.0,219.9999999999999,A,3
Piano,,10,36.0,1.0,261.6255653005985,C,4
Piano,,10,37.0,3.0,0.0,C,4
Piano,,1,0.0,4.0,0.0,C,4
Piano,,2,4.0,4.0,0.0,C,4
Piano,,3,8.0,4.0,0.0,C,4
Piano,,4,12.0,4.0,0.0,C,4
Piano,,5,16.0,4.0,0.0,C,4
Piano,,6,20.0,2.0,0.0,C,4
Piano,,6,22.0,0.1875,987.7666025122488,B,5
Piano,,6,22.1875,0.0625,1046.5022612023952,C,6
Piano,,6,22.25,0.25,880.0000000000003,A,5
Piano,,6,22.5,0.5,783.990871963499,G,5
Piano,,6,23.0,0.5,659.2551138257401,E,5
Piano,,6,23.5,0.5,0.0,E,5
Piano,,7,24.0,2.0,0.0,E,5
Piano,,7,26.0,0.1875,987.7666025122488,B,5
Piano,,7,26.1875,0.0625,1046.5022612023952,C,6
Piano,,7,26.25,0.25,880.0000000000003,A,5
Piano,,7,26.5,0.5,783.990871963499,G,5
Piano,,7,27.0,0.5,659.2551138257401,E,5
Piano,,7,27.5,0.5,587.3295358348153,D,5
Piano,,8,28.0,0.5,523.2511306011974,C,5
Piano,,8,28.5,0.5,0.0,C,5
Piano,,8,29.0,1.0,0.0,C,5
Piano,,8,30.0,0.1875,987.7666025122488,B,5
Piano,,8,30.1875,0.0625,1046.5022612023952,C,6
Piano,,8,30.25,0.25,880.0000000000003,A,5
Piano,,8,30.5,0.5,783.990871963499,G,5
Piano,,8,31.0,0.5,659.2551138257401,E,5
Piano,,8,31.5,0.5,0.0,E,5
Piano,,9,32.0,2.0,0.0,E,5
Piano,,9,34.0,0.1875,987.7666025122488,B,5
Piano,,9,34.1875,0.0625,1046.5022612023952,C,6
Piano,,9,34.25,0.25,880.0000000000003,A,5
Piano,,9,34.5,0.5,783.990871963499,G,5
Piano,,9,35.0,0.5,659.2551138257401,E,5
Piano,,9,35.5,0.5,587.3295358348153,D,5
Piano,,10,36.0,0.5,523.2511306011974,C,5
Piano,,10,36.5,0.5,0.0,C,5
Piano,,10,37.0,1.0,0.0,C,5
Piano,,10,38.0,2.0,0.0,C,5
Piano,,1,0.0,4.0,0.0,C,5
Piano,,2,4.0,4.0,0.0,C,5
Piano,,3,8.0,4.0,0.0,C,5
Piano,,4,12.0,4.0,0.0,C,5
Piano,,5,16.0,4.0,0.0,C,5
Piano,,6,20.0,4.0,0.0,C,5
Piano,,7,24.0,4.0,0.0,C,5
Piano,,8,28.0,4.0,0.0,C,5
Piano,,9,32.0,4.0,0.0,C,5
Piano,,10,36.0,4.0,0.0,C,5
